Event,Sport,Slug
"Equestrianism Mixed Three-Day Event, Team",Equestrianism,equestrianism-mixed-three-day-event-team
Figure Skating Mixed Team,Figure Skating,figure-skating-mixed-team
Sailing Women's Three Person Keelboat,Sailing,sailing-women-s-three-person-keelboat
"Cycling Women's Road Race, Individual",Cycling,cycling-women-s-road-race-individual
Golf Women's Individual,Golf,golf-women-s-individual
Softball Women's Softball,Softball,softball-women-s-softball
Archery Women's Individual,Archery,archery-women-s-individual
"Wrestling Men's Heavyweight, Greco-Roman",Wrestling,wrestling-men-s-heavyweight-greco-roman
Volleyball Men's Volleyball,Volleyball,volleyball-men-s-volleyball
Taekwondo Women's Heavyweight,Taekwondo,taekwondo-women-s-heavyweight
Synchronized Swimming Women's Duet,Synchronized Swimming,synchronized-swimming-women-s-duet
Synchronized Swimming Women's Team,Synchronized Swimming,synchronized-swimming-women-s-team
Taekwondo Women's Featherweight,Taekwondo,taekwondo-women-s-featherweight
Athletics Men's Marathon,Athletics,athletics-men-s-marathon
Athletics Men's 4 x 400 metres Relay,Athletics,athletics-men-s-4-x-400-metres-relay
"Athletics Men's 10,000 metres",Athletics,athletics-men-s-10000-metres
"Athletics Women's 3,000 metres",Athletics,athletics-women-s-3000-metres
Diving Women's Platform,Diving,diving-women-s-platform
"Shooting Men's Air Rifle, 10 metres",Shooting,shooting-men-s-air-rifle-10-metres
Athletics Men's 200 metres,Athletics,athletics-men-s-200-metres
Weightlifting Men's Flyweight,Weightlifting,weightlifting-men-s-flyweight
Swimming Men's 100 metres Backstroke,Swimming,swimming-men-s-100-metres-backstroke
Weightlifting Men's Light-Heavyweight,Weightlifting,weightlifting-men-s-light-heavyweight
"Wrestling Men's Lightweight, Greco-Roman",Wrestling,wrestling-men-s-lightweight-greco-roman
"Fencing Men's Sabre, Individual",Fencing,fencing-men-s-sabre-individual
"Wrestling Men's Super-Heavyweight, Greco-Roman",Wrestling,wrestling-men-s-super-heavyweight-greco-roman
"Shooting Men's Free Pistol, 50 metres",Shooting,shooting-men-s-free-pistol-50-metres
